name,category,brand,color,material,size,type,powder,sulphur,chlorine,silicone_oil,static,length,thickness,surface,packaging,sku,image_url
Spore Ordinary,Bao ngón cao su,Suzuki Latex,Vàng,Cao su tự nhiên,S 15mm - M 18mm - L 21mm,Cut | Shortcut | Roll | Unroll,có bột,có,không,không,không,63 ± 2 mm (Shortcut 45 ± 2 mm),0.10 ± 0.02 mm,Nhám,"1,440 cái x 20 gói / thùng",SP028-1,http://hstatic.net/770/1000108770/1/2016/8-8/pr_234b308d-69a7-41f0-76be-fca0b83b4e48.jpg
Spore Clean,Bao ngón cao su,Suzuki Latex,Vàng,Cao su tự nhiên,S 15mm - M 18mm - L 21mm,Cut | Roll | Unroll,ít bột,có,không,không,không,63 ± 2 mm,0.10 ± 0.02 mm,Nhám,"1,440 cái x 20 gói / thùng",,
Spore Chlorinated,Bao ngón cao su,Suzuki Latex,Vàng,Cao su tự nhiên,S 15mm - M 18mm - L 21mm,Cut | Shortcut | Roll | Unroll,không bột,có,có,không,không,63 ± 2 mm (Shortcut 45 ± 2 mm),0.10 ± 0.02 mm,Nhám,"1,440 cái x 20 gói / thùng",,
Spore Lite II Ordinary,Bao ngón cao su,Suzuki Latex,Trắng,Cao su tự nhiên,S 15mm - M 18mm - L 21mm,Cut | Shortcut |  Roll,có bột,có,không,không,10¹⁰ ~ 10¹² Ohm/square,63 ± 2 mm (Shortcut 45 ± 2 mm),0.10 ± 0.02 mm,Nhám,"1,440 cái x 20 gói / thùng",,
Spore Lite II Clean,Bao ngón cao su,Suzuki Latex,Trắng,Cao su tự nhiên,S 15mm - M 18mm - L 21mm,Cut |  Roll,ít bột,có,không,không,10¹⁰ ~ 10¹² Ohm/square,63 ± 2 mm,0.10 ± 0.02 mm,Nhám,"1,440 cái x 20 gói / thùng",SP022-5,http://hstatic.net/770/1000108770/1/2016/8-8/pr106.jpg
Spore Lite II Chlorinated,Bao ngón cao su,Suzuki Latex,Trắng,Cao su tự nhiên,S 15mm - M 18mm - L 21mm,Cut | Roll,không bột,có,có,không,10¹⁰ ~ 10¹² Ohm/square,63 ± 2 mm,0.10 ± 0.02 mm,Nhám,"1,440 cái x 20 gói / thùng",SP022-4,http://hstatic.net/770/1000108770/1/2016/8-8/ao-dai-cachtan-02_948c953c-7598-49d3-5a9f-c0577efdce96.jpg
Spore Black Clean,Bao ngón cao su,Suzuki Latex,Đen,Cao su tự nhiên,S 15mm - M 18mm - L 21mm,Roll | Unroll,ít bột,có,không,không,10⁶ ~ 10⁸ Ohm/square,63 ± 2 mm,0.10 ± 0.02 mm,Nhám,"1,440 cái x 20 gói / thùng",,http://hstatic.net/770/1000108770/1/2016/8-8/ao-dai-cachtan-04_7912a04b-b282-4121-6db6-58f2108d4ee2.jpg
Spore Black Chlorinated,Bao ngón cao su,Suzuki Latex,Đen,Cao su tự nhiên,S 15mm - M 18mm - L 21mm,Cut | Shortcut | Roll | Unroll,không bột,có,có,không,10⁶ ~ 10⁸ Ohm/square,63 ± 2 mm (Shortcut 45 ± 2 mm),0.10 ± 0.02 mm,Nhám - Nhẵn,"1,440 cái x 20 gói / thùng",SP025-1,http://hstatic.net/770/1000108770/1/2016/8-8/pr1.jpg
Spore Black E9 Chlorinated,Bao ngón cao su,Suzuki Latex,Đen,Cao su tự nhiên,S 15mm - M 18mm - L 21mm,Roll | Unroll,không bột,có,có,không,10⁹ Ohm/square,63 ± 2 mm,0.10 ± 0.02 mm,Nhẵn,"1,440 cái x 20 gói / thùng",,
Spore Sulphur Free,Bao ngón cao su,Suzuki Latex,Vàng,Cao su tự nhiên,S 15mm - M 18mm - L 21mm,Cut,có bột,không,không,không,không,63 ± 2 mm,0.10 ± 0.02 mm,Nhẵn,"1,440 cái x 20 gói / thùng",,
